,# cysts,# detected,# missed,# wrong,# recall,iou,precision,recall
IF TUBI 18.12.2020_DBD 18 A 40X21,3.0,3.0,0.0,2.0,0.9999666677777407,0.7111791730474732,0.7807666442501682,0.8886337543053962
IF ADPKD tubules 9-17.10.19 _DBD 32 40X4,1.0,1.0,0.0,0.0,0.9999000099990001,0.7392578125,0.9606598984771574,0.7623363544813696
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X3,6.0,6.0,0.0,0.0,0.9999833336111065,0.7821134781691627,0.9059369655509406,0.8512396694214877
TUBI 29-30.07.2020_T4 2 40x14 side B,3.0,3.0,0.0,3.0,0.9999666677777407,0.6204379562043796,0.6599378881987578,0.9120171673819742
IF ADPKD tubules 9-17.10.19 _Triac 6 40X10,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
IF 4-12.09.19 40x1 T3 tubo 7 (3),2.0,2.0,0.0,0.0,0.9999500024998749,0.8585714285714285,0.9585326953748007,0.8916913946587537
TUBULI ADPKD 11.12.2020_T4 12 B 40X9,3.0,3.0,0.0,2.0,0.9999666677777407,0.7038877521192634,0.8748410535876476,0.782707622298066
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X16,3.0,3.0,0.0,0.0,0.9999666677777407,0.6955248849853618,0.9387524696584815,0.7285870755750273
TUBI 29-30.07.2020_LM609+T4 19 40x43 side A,4.0,2.0,2.0,0.0,0.49998750031249223,0.5337564916330063,0.8620689655172413,0.583596214511041
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x6",2.0,2.0,0.0,1.0,0.9999500024998749,0.5584768812330009,0.6197183098591549,0.8496551724137931
IF TUBI 18.12.2020_DBD+T4 14 A 40X18,6.0,6.0,0.0,1.0,0.9999833336111065,0.8076149202909766,0.883957309842453,0.903393351800554
IF TUBI 18.12.2020_CTRL 6 A 40X21,3.0,3.0,0.0,0.0,0.9999666677777407,0.7018450184501845,0.8021255060728745,0.8488039985719386
TUBI 29-30.07.2020_T4 2 40x3 side A,5.0,4.0,1.0,0.0,0.7999840003199936,0.6710694503621645,0.8798882681564246,0.7387429643527205
IF TUBI 18.12.2020_T4 2 B 40X1,4.0,4.0,0.0,1.0,0.9999750006249845,0.8665960024227741,0.9196529005302908,0.9375819134993447
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  B 40x7",2.0,1.0,1.0,1.0,0.49997500124993743,0.058655221745350504,0.1413793103448276,0.09111111111111111
IF TUBI 18.12.2020_CTRL 6 A 40X33,3.0,3.0,0.0,0.0,0.9999666677777407,0.8370748299319728,0.9357414448669201,0.8881270299530856
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x4",3.0,1.0,2.0,1.0,0.3333222225925802,0.36242250834525513,0.6690140845070423,0.44160371876815807
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato  A 40x11",5.0,4.0,1.0,2.0,0.7999840003199936,0.4074192516789255,0.7085650723025584,0.4894352669996158
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X36,11.0,9.0,2.0,0.0,0.818174380232907,0.7906373075546008,0.9255029337803856,0.8443743427970557
IF 4-12.09.19 40x1 CTRL tubo 11 (21),2.0,2.0,0.0,0.0,0.9999500024998749,0.812989921612542,0.94469746258946,0.8536155202821869
TUBULI ADPKD 11.12.2020_DBD 3 A 40X47,9.0,8.0,1.0,3.0,0.8888790124554172,0.4939759036144578,0.5255491464196236,0.8915686468320648
IF 4-12.09.19 40x1 T3 tubo 7 (19),3.0,2.0,1.0,0.0,0.6666444451851604,0.3880338591766064,0.9659961685823755,0.3934074507509265
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato  A 40x10",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IF 4-12.09.19 40x1 T3 tubo 7 (11),7.0,6.0,1.0,0.0,0.8571306124198226,0.8047775947281713,0.9336518771331058,0.8535946080878682
TUBI 29-30.07.2020_LM609+T4 19 40x19 side A,3.0,2.0,1.0,12.0,0.6666444451851604,0.05570373409930242,0.06667485265225934,0.2529110386585934
IF TUBI 18.12.2020_DBD+T4 14 B 40X10,6.0,5.0,1.0,1.0,0.8333194446759221,0.5817032801685225,0.6694372294372294,0.8161283512771796
IF ADPKD tubules 9-17.10.19 _Resv 24 40X22,3.0,2.0,1.0,0.0,0.6666444451851604,0.3800403225806452,0.8213507625272332,0.4142857142857143
TUBI 29-30.07.2020_T4 2 40x23 side A,6.0,5.0,1.0,0.0,0.8333194446759221,0.7193304288007337,0.9076967592592593,0.7761009401286492
IF TUBI 18.12.2020_DBD+T4 14 B 40X2,1.0,1.0,0.0,0.0,0.9999000099990001,0.8464611872146118,0.9042682926829269,0.9297805642633229
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x9",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X9,5.0,4.0,1.0,0.0,0.7999840003199936,0.7591878172588833,0.9184475558830754,0.8140648813411714
IF TUBI 18.12.2020_DBD+T4 14 A 40X20,4.0,4.0,0.0,1.0,0.9999750006249845,0.7651708312085671,0.8829067372756693,0.851589103291714
IF ADPKD tubules 9-17.10.19 _CTRL 2 40X2,2.0,2.0,0.0,0.0,0.9999500024998749,0.8775015160703457,0.9175649968294229,0.9526003949967083
IF TUBI 18.12.2020_DBD+T4 14 A 40X4,4.0,2.0,2.0,0.0,0.49998750031249223,0.6057997281377435,0.9670886075949368,0.6185519315290308
IF TUBI 18.12.2020_DBD 18 A 40X29,5.0,5.0,0.0,0.0,0.999980000399992,0.87136352137617,0.925319006044325,0.9372789115646258
IF 4-12.09.19 TETRAC tubo 5 40x1  (9),8.0,8.0,0.0,2.0,0.999987500156248,0.5907527703477264,0.6185455401270887,0.9293165022453237
IF ADPKD tubules 9-17.10.19 _Triac 6 40X1,1.0,1.0,0.0,0.0,0.9999000099990001,0.635039223010833,0.9664582148948266,0.6493506493506493
IF 4-12.09.19 TETRAC tubo 5 40x1  (6),10.0,9.0,1.0,1.0,0.8999910000899991,0.8602145084814524,0.9092273470372256,0.9410296238766227
TUBULI ADPKD 11.12.2020_DBD 3 A 40X44,4.0,2.0,2.0,0.0,0.49998750031249223,0.593092497022628,0.9467680608365019,0.6135523613963039
TUBULI ADPKD 11.12.2020_DBD 3 A 40X31,7.0,5.0,2.0,0.0,0.7142755103498521,0.7966762603286603,0.901460237419897,0.8726736499542357
TUBI 29-30.07.2020_LM609+T4 19 40x6 side B,3.0,2.0,1.0,0.0,0.6666444451851604,0.19339356295878035,0.9799713876967096,0.19416099773242632
IF ADPKD tubules 9-17.10.19 _Tetrac 8 40X8,3.0,2.0,1.0,0.0,0.6666444451851604,0.5942564685811771,0.8969957081545065,0.637778455904791
IF TUBI 18.12.2020_T4 2 A 40X2,8.0,5.0,3.0,0.0,0.6249921875976551,0.6857897716550293,0.9033059905543127,0.740122199592668
IF 4-12.09.19 40x1 T3 tubo 7 (8),3.0,2.0,1.0,0.0,0.6666444451851604,0.7193548387096774,0.9186405767250257,0.768303186907838
TUBI 29-30.07.2020_T4 2 40x3 side B,5.0,5.0,0.0,0.0,0.999980000399992,0.8417869683964104,0.937228496959166,0.8920818689270209
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  A 40x7",5.0,5.0,0.0,1.0,0.999980000399992,0.7785444024037391,0.8205489092188599,0.9383047210300429
TUBULI ADPKD 11.12.2020_DBD 3 A 40X9,2.0,2.0,0.0,0.0,0.9999500024998749,0.8438449848024316,0.878212732305259,0.9556798623063684
IF TUBI 18.12.2020_CTRL 6 B 40X31,6.0,5.0,1.0,2.0,0.8333194446759221,0.6376957045363308,0.8988541519309662,0.6869931884528057
IF TUBI 18.12.2020_DBD 18 A 40X2,15.0,11.0,4.0,0.0,0.7333284444770368,0.6164383561643836,0.8449841820593939,0.6950390329891715
